0.0000	0.0000
0.0628	0.0628
0.1257	0.1253
0.1885	0.1874
0.2513	0.2487
0.3142	0.3090
0.3770	0.3681
0.4398	0.4258
0.5027	0.4818
0.5655	0.5358
0.6283	0.5878
0.6912	0.6374
0.7540	0.6845
0.8168	0.7290
0.8796	0.7705
0.9425	0.8090
1.0053	0.8443
1.0681	0.8763
1.1310	0.9048
1.1938	0.9298
1.2566	0.9511
1.3195	0.9686
1.3823	0.9823
1.4451	0.9921
1.5080	0.9980
1.5708	1.0000
1.6336	0.9980
1.6965	0.9921
1.7593	0.9823
1.8221	0.9686
1.8850	0.9511
1.9478	0.9298
2.0106	0.9048
2.0735	0.8763
2.1363	0.8443
2.1991	0.8090
2.2619	0.7705
2.3248	0.7290
2.3876	0.6845
2.4504	0.6374
2.5133	0.5878
2.5761	0.5358
2.6389	0.4818
2.7018	0.4258
2.7646	0.3681
2.8274	0.3090
2.8903	0.2487
2.9531	0.1874
3.0159	0.1253
3.0788	0.0628
3.1416	0.0000
3.2044	-0.0628
3.2673	-0.1253
3.3301	-0.1874
3.3929	-0.2487
3.4558	-0.3090
3.5186	-0.3681
3.5814	-0.4258
3.6442	-0.4818
3.7071	-0.5358
3.7699	-0.5878
3.8327	-0.6374
3.8956	-0.6845
3.9584	-0.7290
4.0212	-0.7705
4.0841	-0.8090
4.1469	-0.8443
4.2097	-0.8763
4.2726	-0.9048
4.3354	-0.9298
4.3982	-0.9511
4.4611	-0.9686
4.5239	-0.9823
4.5867	-0.9921
4.6496	-0.9980
4.7124	-1.0000
4.7752	-0.9980
4.8381	-0.9921
4.9009	-0.9823
4.9637	-0.9686
5.0265	-0.9511
5.0894	-0.9298
5.1522	-0.9048
5.2150	-0.8763
5.2779	-0.8443
5.3407	-0.8090
5.4035	-0.7705
5.4664	-0.7290
5.5292	-0.6845
5.5920	-0.6374
5.6549	-0.5878
5.7177	-0.5358
5.7805	-0.4818
5.8434	-0.4258
5.9062	-0.3681
5.9690	-0.3090
6.0319	-0.2487
6.0947	-0.1874
6.1575	-0.1253
6.2204	-0.0628
6.2832	0.0000
